Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
15837,Mature,Fair,No,,24165.25,940.7,17.7,416.8
36364,Middle aged,Fair,No,,1870.65,36.6,2.2,25.7
50317,Middle aged,Good,No,,2876.81,79.5,5,29.6
19091,Mature,Fair,No,,2220.19,74,3.9,17.3
15747,Middle aged,Good,No,,9320.88,185.7,7.1,294.9
53913,Middle aged,Fair,No,,242.73,0.7,0.3,0.8
16006,Middle aged,Fair,No,,3804.59,104.2,4.5,76.3
21627,Mature,Fair,No,,46225.75,1001,15.2,706.8
21516,Mature,Fair,No,,18706.49,627.9,12.5,368.6
13219,Mature,Good,No,,6911.55,228.1,8.1,162.2
37675,Mature,Good,No,,3132.85,68.6,4.2,13.7
6584,Mature,Good,No,,19641.82,369.6,9.1,395.9
3490,Mature,Fair,No,,25373.51,850.2,16.4,358
959,Middle aged,Good,No,,11223.89,112.6,4.6,242.2
32939,Middle aged,Good,No,,2078.5,49.9,3.4,4
1070,Mature,Good,No,,36255.06,1486.4,25.3,347.7
31488,Middle aged,Fair,No,,5178.27,181.9,6.6,31.7
2599,Mature,Good,No,,23681.94,834.2,18.1,357.1
1655,Middle aged,Fair,No,,8293.86,180.5,6.5,97.2
8319,Mature,Good,No,,24881.57,993.3,20.1,225.5
57233,Juvenile,Good,No,,239.74,1.2,0.4,13.8
1497,Mature,Fair,No,,17459.39,545.4,11.6,454.5
27214,Middle aged,Fair,No,,14203.79,381.7,7.5,267
9497,Mature,Fair,No,,14619.98,240.4,6.3,277.7
48411,Middle aged,Fair,No,,699.07,12,1.4,24.7
32407,Middle aged,Good,No,,3452.18,76.8,4.3,121.3
41648,Middle aged,Good,No,,161.82,3.7,0.8,7.4
14733,Mature,Fair,No,,54614.54,899.7,13.5,747.4
42236,Middle aged,Good,No,,870.23,15.7,1.8,21.9
52908,Juvenile,Good,No,,613.72,6.6,1.1,4.5
9609,Middle aged,Fair,No,,2854.52,69.9,3.8,57.3
34540,Middle aged,Fair,No,,2097.2,46.6,3.2,27.1
6876,Mature,Fair,No,,13592.95,520.9,11.4,71.4
11773,Middle aged,Good,No,,2209.39,40.1,3,20.6
11168,Middle aged,Good,No,,11893.83,242.3,7.7,236
51456,Juvenile,Good,No,,345.22,1.8,0.5,3.7
3912,Mature,Fair,No,,3889.45,129.3,5.4,77.2
56907,Juvenile,Good,No,,239.74,0.8,0,9
33024,Mature,Fair,No,,1456.39,27.2,2.1,5.7
34154,Middle aged,Good,No,,2338.31,17,1.6,15.9
57404,Juvenile,Good,No,,153.43,,,
14378,Middle aged,Good,No,,9398.56,131.8,5.1,135.6
32477,Middle aged,Good,No,,1864.18,61.4,4.3,63.4
55773,Juvenile,Good,No,,153.43,1,0.2,9.3
13962,Mature,Good,No,,29056.55,1164.3,22.1,230.9
46940,Middle aged,Fair,No,,5592.53,,,
17908,Middle aged,Good,No,,4045.52,100.5,5.7,32.9
52472,Juvenile,Good,No,,414.26,2.7,0.7,3.5
4729,Mature,Good,No,,4718.7,135.5,5.6,74
41201,Juvenile,Good,No,,2446.73,20.2,1.7,9.2
